"Source:","/home/phil/Documents/Projects/tbc/tbc.kicad_sch"
"Date:","Wed 21 Feb 2024 08:27:08 AM AEDT"
"Tool:","Eeschema 7.0.10-7.0.10~ubuntu23.10.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","126"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Digikey","Label","Mouser","Sim.Enable"
"1","2","C1, C31","22u|25V","tbc:GRM32ER71E226KE15L","tbc:GRM32","https://www.mouser.com/datasheet/2/281/1/GRM32ER71E226KE15_04CA-1988287.pdf","","",""," 81-GRM32ER71E226KE5L","0"
"2","47","C2, C3, C4, C5, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C30, C32, C33, C34, C35, C36, C37, C38, C39, C40, C41, C42, C43, C44, C45, C46, C47, C48, C49, C50, C57, C58, C59, C61, C62, C63, C64, C65","100n","tbc:GCJ188R71H104KA12D","tbc:C0603","https://au.mouser.com/datasheet/2/281/1/GCJ188R71H104KA12_02B-3140350.pdf","","",""," 81-GCJ188R71H104KA2D","0"
"3","6","C6, C7, C8, C9, C10, C11","47n","tbc:GCJ188R71E473KA01D","tbc:C0603","https://au.mouser.com/datasheet/2/281/1/GCJ188R71E473KA01_02B-3140701.pdf","","","","81-GCJ188R71E473KA1D","0"
"4","4","C27, C28, C52, C53","27pF","tbc:GCM1885C2A270JA16D","tbc:C0603","https://au.mouser.com/datasheet/2/281/1/GCM1885C2A270JA16_01A-3143323.pdf","","","","81-GCM1885C2A270JA6D","0"
"5","1","C29","1n","tbc:GCM1885C2A102FA16D","tbc:C0603","https://au.mouser.com/datasheet/2/281/1/GCM1885C2A102FA16_01A-3142918.pdf","DNP","","","81-GCM1885C2A102FA6D","0"
"6","1","C51","10uF|25V","tbc:293D106X9025C2TE3","tbc:293D_C","https://www.vishay.com/docs/40002/293d.pdf","","","","74-293D106X9025C2TE3","0"
"7","2","C54, C55","22uF|25V","tbc:593D226X9025D2TE3","tbc:593D_D","https://www.vishay.com/docs/40005/593d.pdf","","","","74-593D226X9025D2TE3","0"
"8","1","C56","4.7u|16V","tbc:GRT188C71C475KE13D","tbc:C0603","https://www.mouser.com/datasheet/2/281/1/GRT188C71C475KE13_01A-3158168.pdf","","",""," 81-GRT188C71C475KE13","0"
"9","1","C60","0.01u","tbc:GCM188R71H103KA37J","tbc:C0603","https://au.mouser.com/datasheet/2/281/1/GCM188R71H103KA37_01C-3144181.pdf","","",""," 81-GCM188R71H103KA7J","0"
"10","2","J1, J4","5749181-1","tbc:5749181-1","tbc:5749181-1","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=5749181&DocType=Customer+Drawing&DocLang=English&PartCntxt=5749181-1&DocFormat=pdf","","","","571-5749181-1","0"
"11","3","J2, J3, J5","PJRAN1X1U01X","tbc:PJRAN1X1U01X","tbc:PJRAN1X1U01X","https://au.mouser.com/datasheet/2/393/pjran1x1u__x_series_cd-2943269.pdf","","",""," 502-PJRAN1X1U01X","0"
"12","1","J6","PJRAN3X1U03X","tbc:PJRAN3X1U03X","tbc:PJRAN3X1U03X","https://au.mouser.com/datasheet/2/393/pjran3x1u__x_series_cd-2943270.pdf","","","","502-PJRAN3X1U03X","0"
"13","1","J7","4840.2201","tbc:4840.2201","tbc:4840.2201","https://au.mouser.com/datasheet/2/358/typ_4840_2201-1307781.pdf","","","","693-4840.2201","0"
"14","1","J8","20021111-00010T4LF","tbc:20021111-00010T4LF","tbc:20021111-00010T4LF","https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/boardwiretoboard/bwb_minitek127_btb.pdf","","TC2030-IDC-ND",""," 649-221111-00010T4LF","0"
"15","1","J9","75869-105LF","tbc:75869-105LF","tbc:75869-105LF","https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/boardwiretoboard/bwb_quickie.pdf","","","","649-75869-105LF","0"
"16","2","L1, L3","10uH","tbc:DFE201610E-100M=P2","tbc:DFE201610E","https://www.mouser.com/datasheet/2/281/1/J_E_TE243A_0001-3158782.pdf","","",""," 81-DFE201610E-100MP2","0"
"17","1","L2","10uH","tbc:LQM21DH100M70L","tbc:L0805","https://au.mouser.com/datasheet/2/281/1/JLF243B_0081-1569936.pdf","DNP","",""," 81-LQM21DH100M70L","0"
"18","1","Q1","BSS308PE","tbc:BSS308PE","tbc:SOT23","https://au.mouser.com/datasheet/2/196/Infineon_BSS308PE_DS_v02_03_en-1731197.pdf","","",""," 726-BSS308PEH6327XTS","0"
"19","4","R1, R2, R3, R4","18","tbc:RC0603FR-0718RL","tbc:R0603","https://www.yageo.com/upload/media/product/products/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf","","","","603-RC0603FR-0718RL","0"
"20","4","R5, R6, R7, R8","56","tbc:RC0603FR-0756RL","tbc:R0603","https://www.yageo.com/upload/media/product/products/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf","","",""," 603-RC0603FR-0756RL ","0"
"21","1","R9","3K3","tbc:RC0603FR-073K3L","tbc:R0603","https://au.mouser.com/datasheet/2/447/YAGEO_PYu_RC_Group_51_RoHS_L_12-3313492.pdf","","","","603-RC0603FR-073K3L","0"
"22","1","R10","3K3","tbc:RC0603FR-073K3L","tbc:R0603","https://au.mouser.com/datasheet/2/447/YAGEO_PYu_RC_Group_51_RoHS_L_12-3313492.pdf","DNP","","","603-RC0603FR-073K3L","0"
"23","2","R11, R14","2K2","tbc:RC0603FR-072K2L","tbc:R0603","https://au.mouser.com/datasheet/2/447/YAGEO_PYu_RC_Group_51_RoHS_L_12-3313492.pdf","","","","603-RC0603FR-072K2L","0"
"24","2","R12, R27","10k","tbc:RC0603FR-0710KL","tbc:R0603","https://www.mouser.com/datasheet/2/447/YAGEO_PYu_RC_Group_51_RoHS_L_12-3313492.pdf","","","","603-RC0603FR-0710KL","0"
"25","2","R13, R32","390","tbc:RC0603FR-07390RL","tbc:R0603","https://www.mouser.com/datasheet/2/447/YAGEO_PYu_RC_Group_51_RoHS_L_12-3313492.pdf","","",""," 603-RC0603FR-07390RL","0"
"26","3","R15, R17, R19","27","tbc:RC0603FR-0727RL","tbc:R0603","https://au.mouser.com/datasheet/2/447/YAGEO_PYu_RC_Group_51_RoHS_L_12-3313492.pdf","","","","603-RC0603FR-0727RL","0"
"27","6","R16, R18, R20, R22, R24, R26","75","tbc:RC0603FR-0775RL","tbc:R0603","https://au.mouser.com/datasheet/2/447/YAGEO_PYu_RC_Group_51_RoHS_L_12-3313492.pdf","","","","603-RC0603FR-0775RL","0"
"28","1","R21","8R2","tbc:RC0603FR-078R2L","tbc:R0603","https://au.mouser.com/datasheet/2/447/YAGEO_PYu_RC_Group_51_RoHS_L_12-3313492.pdf","","",""," 603-RC0603FR-078R2L","0"
"29","2","R23, R25","13","tbc:RC0603FR-0713RL","tbc:R0603","https://au.mouser.com/datasheet/2/447/YAGEO_PYu_RC_Group_51_RoHS_L_12-3313492.pdf","","","","603-RC0603FR-0713RL","0"
"30","4","R28, R29, R30, R31","4K7","tbc:RC0603FR-074K7L","tbc:R0603","https://www.yageo.com/upload/media/product/products/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf","","",""," 603-RC0603FR-074K7L","0"
"31","1","SW1","1825910-6","tbc:1825910-6","tbc:1825910-6","http://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1825910&DocType=Customer+Drawing&DocLang=English","","","RESET","650-1825910-6","0"
"32","1","SW2","A11AH","tbc:A11AH","tbc:A11AH","https://au.mouser.com/datasheet/2/295/Atoggles-1663582.pdf","","","","633-A11AH","0"
"33","1","U1","SAA7114H","tbc:SAA7114H","tbc:LQFP100_14x14x1.4mm_Pitch0.5mm","","","","","","0"
"34","1","U2","SN74HC00DR","tbc:SN74HC00DR","tbc:SOIC-14","https://www.ti.com/lit/gpn/sn74hc00","","",""," 595-SN74HC00DR","0"
"35","4","U3, U4, U5, U6","HM530281R","tbc:HM530281R","tbc:TTP-44DB","","","","","","0"
"36","1","U7","SAA7182A","tbc:SAA7182A","tbc:QFP80_14x20x2.8mm_Pitch0.8mm","","","","","","0"
"37","1","U8","CD74HC74M96 ","tbc:CD74HC74M96 ","tbc:SOIC-14","https://www.ti.com/lit/gpn/cd74hc74","","",""," 595-CD74HC74M96 ","0"
"38","1","U9","LM1086CS-3.3","tbc:LM1086CS-3.3","tbc:TO-263_4.83mm","https://www.ti.com/lit/gpn/lm1086","","","","926-LM1086CSX3.3NOPB","0"
"39","1","U10","LM1086CS-5.0","tbc:LM1086CS-5.0","tbc:TO-263_4.83mm","https://www.ti.com/lit/gpn/lm1086","","","","926-LM1086CS-5.0NOPB","0"
"40","1","U11","STM32G051K8T6","tbc:STM32G051K8T6","tbc:QFP32_7x7x1.6mm_Pitch0.8mm","https://au.mouser.com/datasheet/2/389/stm32g051c6-2449954.pdf","","","","511-STM32G051K8T6","0"
"41","1","X1","ACHL-24.576MHZ-EK","tbc:ACHL-24.576MHZ-EK","tbc:ACHL","https://au.mouser.com/datasheet/2/3/ACHL-3223422.pdf","","","","815-ACHL-24.576-EK","0"
"42","1","Y1","ABLS-27.000MHZ-B2F-T","tbc:ABLS-27.000MHZ-B2F-T","tbc:ABLS","https://au.mouser.com/datasheet/2/3/abls-1664338.pdf","","",""," 815-ABLS-27-B2","0"
"43","1","Y2","ABLS2-8.000MHZ-D4Y-T","tbc:ABLS2-8.000MHZ-D4Y-T","tbc:ABLS2","https://au.mouser.com/datasheet/2/3/ABLS2-1775116.pdf","","","","520-80-20-5PX-EM-TR","0"
